position,velocity,acceleration,jerk,heading,dt,x,y
0.000, -0.000, 0.000, 0.000, -3.142, 0.020, 5.500, 18.444
-0.003, -0.160, -8.000, -400.000, -3.142, 0.020, 5.503, 16.264
-0.010, -0.320, -8.000, -0.000, -3.142, 0.020, 5.510, 16.264
-0.019, -0.480, -8.000, 0.000, -3.142, 0.020, 5.519, 16.264
-0.032, -0.640, -8.000, -0.000, -3.142, 0.020, 5.532, 16.264
-0.048, -0.800, -8.000, 0.000, -3.142, 0.020, 5.548, 16.264
-0.067, -0.960, -8.000, -0.000, -3.142, 0.020, 5.567, 16.264
-0.090, -1.120, -8.000, 0.000, -3.142, 0.020, 5.590, 16.264
-0.115, -1.280, -8.000, -0.000, -3.142, 0.020, 5.615, 16.264
-0.144, -1.440, -8.000, 0.000, -3.142, 0.020, 5.644, 16.264
-0.176, -1.600, -8.000, 0.000, -3.142, 0.020, 5.676, 16.264
-0.211, -1.760, -8.000, -0.000, -3.142, 0.020, 5.711, 16.264
-0.250, -1.920, -8.000, -0.000, -3.142, 0.020, 5.750, 16.264
-0.291, -2.080, -8.000, -0.000, -3.142, 0.020, 5.791, 16.264
-0.336, -2.240, -8.000, -0.000, -3.142, 0.020, 5.836, 16.264
-0.384, -2.400, -8.000, 0.000, -3.142, 0.020, 5.884, 16.264
-0.435, -2.560, -8.000, 0.000, -3.142, 0.020, 5.935, 16.264
-0.490, -2.720, -8.000, -0.000, -3.142, 0.020, 5.990, 16.264
-0.547, -2.880, -8.000, 0.000, -3.142, 0.020, 6.047, 16.264
-0.607, -3.000, -6.000, 100.000, -3.142, 0.020, 6.107, 16.264
-0.667, -3.000, 0.000, 300.000, -3.142, 0.020, 6.167, 16.264
-0.727, -3.000, 0.000, -0.000, -3.142, 0.020, 6.227, 16.264
-0.787, -3.000, 0.000, 0.000, -3.142, 0.020, 6.287, 16.264
-0.847, -3.000, 0.000, 0.000, -3.142, 0.020, 6.347, 16.264
-0.907, -3.000, -0.000, -0.000, -3.142, 0.020, 6.407, 16.264
-0.967, -3.000, 0.000, 0.000, -3.142, 0.020, 6.467, 16.264
-1.027, -3.000, 0.000, 0.000, -3.142, 0.020, 6.527, 16.264
-1.087, -3.000, 0.000, 0.000, -3.142, 0.020, 6.587, 16.264
-1.147, -3.000, 0.000, 0.000, -3.142, 0.020, 6.647, 16.264
-1.207, -3.000, 0.000, 0.000, -3.142, 0.020, 6.707, 16.264
-1.267, -3.000, 0.000, 0.000, -3.142, 0.020, 6.767, 16.264
-1.327, -3.000, 0.000, 0.000, -3.142, 0.020, 6.827, 16.264
-1.387, -3.000, 0.000, 0.000, -3.142, 0.020, 6.887, 16.264
-1.447, -3.000, 0.000, 0.000, -3.142, 0.020, 6.947, 16.264
-1.507, -3.000, 0.000, 0.000, -3.142, 0.020, 7.007, 16.264
-1.567, -3.000, 0.000, 0.000, -3.142, 0.020, 7.067, 16.264
-1.627, -3.000, 0.000, 0.000, -3.142, 0.020, 7.127, 16.264
